X,Y,OBJECTID,ABCDMisc,ADSPermissionState,CalculatedAcres,ContainmentDateTime,ControlDateTime,DailyAcres,DiscoveryAcres,DispatchCenterID,EstimatedCostToDate,FinalFireReportApprovedByTitle,FinalFireReportApprovedByUnit,FinalFireReportApprovedDate,FireBehaviorGeneral,FireBehaviorGeneral1,FireBehaviorGeneral2,FireBehaviorGeneral3,FireCause,FireCauseGeneral,FireCauseSpecific,FireCode,FireDepartmentID,FireDiscoveryDateTime,FireMgmtComplexity,FireOutDateTime,FireStrategyConfinePercent,FireStrategyFullSuppPercent,FireStrategyMonitorPercent,FireStrategyPointZonePercent,FSJobCode,FSOverrideCode,GACC,ICS209ReportDateTime,ICS209ReportForTimePeriodFrom,ICS209ReportForTimePeriodTo,ICS209ReportStatus,IncidentManagementOrganization,IncidentName,IncidentShortDescription,IncidentTypeCategory,IncidentTypeKind,InitialLatitude,InitialLongitude,InitialResponseAcres,InitialResponseDateTime,IrwinID,IsFireCauseInvestigated,IsFireCodeRequested,IsFSAssisted,IsMultiJurisdictional,IsReimbursable,IsTrespass,IsUnifiedCommand,LocalIncidentIdentifier,PercentContained,PercentPerimeterToBeContained,POOCity,POOCounty,POODispatchCenterID,POOFips,POOJurisdictionalAgency,POOJurisdictionalUnit,POOJurisdictionalUnitParentUnit,POOLandownerCategory,POOLandownerKind,POOLegalDescPrincipalMeridian,POOLegalDescQtr,POOLegalDescQtrQtr,POOLegalDescRange,POOLegalDescSection,POOLegalDescTownship,POOPredictiveServiceAreaID,POOProtectingAgency,POOProtectingUnit,POOState,PredominantFuelGroup,PredominantFuelModel,PrimaryFuelModel,SecondaryFuelModel,TotalIncidentPersonnel,UniqueFireIdentifier,WFDSSDecisionStatus,CreatedBySystem,ModifiedBySystem,IsDispatchComplete,OrganizationalAssessment,StrategicDecisionPublishDate,CreatedOnDateTime_dt,ModifiedOnDateTime_dt,Source,GlobalID,IsCpxChild,CpxName,CpxID
-106.705910499,39.7428962990001,400,,DEFAULT,,2018/06/17 20:00:00+00,2018/06/27 21:27:00+00,455,20,COGJC,700000,,,,Minimal,Smoldering,Creeping,Creeping,Unknown,,,LU6N,,2018/06/09 20:48:59+00,Type 5 Incident,2018/09/17 14:48:00+00,0,100,0,0,PD,1502,RMCC,2018/06/17 23:45:00+00,2018/06/17 21:00:00+00,2018/06/17 23:45:00+00,F,Type 5 IC,BOCCO,3mi NW of Wolcott  CO.,WF,FI,39.71604,-106.7022,20,,{33443DDA-88A2-4B4C-BE8E-0D641A204788},,0,1,0,0,1,,000138,100,100,,Eagle,COGJC,08037,BLM,COGWD,,BLM,Federal,,,,,,,RM27,,COGWD,US-CO,,,Short Grass (1 foot),Brush (2 feet),3,2018-COGWD-000138,Approved Decision,wildcad,wildcad,0,,,2018/06/09 22:02:35+00,2018/09/28 18:22:22+00,IRWIN,{0175FA2C-A729-434F-9F79-C95775A5992B},,,
-107.77421052,37.8068059660001,484,,CERTIFIED,597.82,2020/10/27 14:00:00+00,2020/11/19 21:00:00+00,597.8,1,CODRC,1000000,,,2021/01/13 20:23:23+00,Minimal,Smoldering,Smoldering,Creeping,Unknown,Investigated but Undetermined,,NPD3,,2020/10/19 19:31:59+00,Type 4 Incident,2020/12/14 18:00:00+00,0,100,0,0,P2,0213,RMCC,2020/10/27 15:30:00+00,2020/10/27 14:00:00+00,2020/10/27 15:30:00+00,F,Type 4 IC,Ice,"5 Miles West of Silverton, CO",WF,FI,37.8068,-107.7742,,2020/10/19 19:37:00+00,{C57B0DDA-E455-48D4-80F5-D8B026C97487},,0,1,0,0,0,0,001214,100,100,"Silverton, CO",San Juan,CODRC,08111,FS,COSJF,,USFS,Federal,,,,,,,RM37,FS,COSJF,US-CO,Timber,TL9,Timber (Litter and Understory),Short Grass (1 foot),1,2020-COSJF-001214,Approved Decision,wildcad,INFORM_Inspector,0,Type 3 Incident,2020/10/22 23:26:51+00,2020/10/19 20:22:28+00,2021/01/13 20:23:23+00,IRWIN,{C8771DB9-FF8E-4BFC-9695-F3BBEB775FAB},,,
-106.881410468,39.1387662060001,1750,EKU9,DEFAULT,,2016/11/28 19:44:59+00,2016/11/28 20:00:00+00,2,0.1,COGJC,50000,,,,Minimal,Smoldering,Smoldering,,Natural,,,,,2016/09/13 18:01:24+00,Type 4 Incident,2016/11/28 20:15:00+00,100,,,,P2,0215,RMCC,2016/11/28 21:59:59+00,2016/11/23 14:00:00+00,2016/11/28 21:59:59+00,F,Type 4 IC,Maroon,,WF,FI,39.12279,-106.8766,0.1,,{EE198B37-E39F-45BB-B6BF-1A5474BDD13D},,0,1,0,0,0,,000615,100,,Aspen,Pitkin,COGJC,08097,FS,COWRF,,USFS,Federal,,,,,,,RM28,FS,COWRF,US-CO,,,Timber (Litter and Understory),,,2016-COWRF-000615,Approved Decision,wildcad,wildcad,0,,,2016/09/18 18:09:26+00,2018/08/24 21:59:00+00,IRWIN,{7532502C-4452-4B0E-B837-98D92B27AA15},,,
-108.418610879,39.762136179,3400,,CERTIFIED,3128.2127,2020/07/23 13:30:00+00,2020/09/10 14:00:00+00,3226,1,COCRC,2285000,,,2020/10/13 17:05:50+00,Minimal,Creeping,Smoldering,Smoldering,Natural,Lightning,,M9LV,,2020/07/13 18:00:00+00,Type 4 Incident,2020/09/10 15:59:59+00,0,100,0,0,,,RMCC,2020/07/23 23:00:00+00,2020/07/22 23:00:00+00,2020/07/23 23:00:00+00,F,Type 4 IC,FAWN CREEK,"26 miles SW of Meeker, CO",WF,FI,39.80434,-108.3616,1,2020/07/13 18:00:00+00,{82DB77F9-0F86-4887-B759-7AA8A6BA4B22},,0,1,0,0,0,0,000166,100,100,,Rio Blanco,COCRC,08103,BLM,COWRD,,BLM,Federal,,,,,,,RM25,BLM,COWRD,US-CO,Brush,SH2,Brush (2 feet),Tall Grass (2.5 feet),3,2020-COWRD-000166,Approved Decision,wildcad,INFORM_Inspector,0,Type 2 Incident,2020/07/16 14:48:53+00,2020/07/13 18:51:22+00,2020/10/13 17:05:51+00,IRWIN,{10D79D0D-C571-4FD4-AE3D-E7C604AB6D14},,,
-105.057510263,40.882506569,4685,,DEFAULT,,,,2200,100,COFTC,10000,,,,Active,,,,Human,,,KWM5,,2017/03/04 23:15:00+00,Type 3 Incident,,,100,,,,,RMCC,2017/03/06 21:00:00+00,2017/03/04 22:30:00+00,2017/03/06 21:00:00+00,F,Type 3 IC,Cattle Drive,,WF,FI,40.8824,-105.057617,,,{795CB506-CB8E-4DDE-8E6A-3FD52A0B9AF8},,0,1,0,0,0,,000074,100,,,Larimer,,08069,,COPRI,,,,6th Principal Meridian,,,69W,36,11N,RM23,C&L,COLRX,US-CO,,,Short Grass (1 foot),Tall Grass (2.5 feet),41,2017-COLRX-000074,,wildcad,wildcad,0,,,2017/03/04 23:21:27+00,2017/03/22 15:16:32+00,IRWIN,{EBF446AE-0303-435A-9638-6A7804E26E81},,,
-107.538210572,38.7739461130001,5182,EKU0,DEFAULT,,2018/07/29 16:38:59+00,2018/08/12 14:00:00+00,0.25,0.1,COMTC,6500,,,,Minimal,Creeping,Smoldering,,Natural,,,,,2018/07/12 22:01:28+00,Type 5 Incident,2018/09/11 16:36:00+00,0,0,100,0,P2,0204,RMCC,2018/08/09 23:29:59+00,2018/08/02 12:00:00+00,2018/08/09 23:29:59+00,F,Type 5 IC,Landsend,Five Miles NE of Crawford,WF,FI,38.77519,-107.5414,0.1,,{DF0431EF-DF84-4F05-82DB-FD8DA80D7D2E},,0,0,0,0,0,,000181,100,100,Crawford,Delta,COMTC,08029,FS,COGMF,,USFS,Federal,New Mexico Principal,,,91W,3,15S,RM28,FS,COGMF,US-CO,,,Timber (Litter and Understory),,1,2018-COGMF-000181,Approved Decision,wildcad,wildcad,0,,,2018/07/13 18:12:10+00,2018/09/11 16:40:36+00,IRWIN,{30E9AABA-069B-4627-B064-59EB7B7D4CD3},,,
-104.875565554,38.585561865,5271,,DEFAULT,,,,900,12,COPBC,500000,,,,Minimal,,,,Human,,,KAZ2,,2016/06/15 20:52:59+00,Type 3 Incident,2016/06/28 22:38:59+00,,100,,,PF,1502,RMCC,2016/06/25 14:00:00+00,2016/06/19 02:00:00+00,2016/06/25 14:00:00+00,F,Type 3 IC,TA-27,Moderate,WF,FI,38.58546,-104.8756,12,,{1996CB70-187C-461F-9CB3-300CFBF439BA},,0,1,0,1,0,,000751,100,,Fort Carson,El Paso,,08041,,COFCQ,,,,,,,,,,RM33,USA,COFCQ,US-CO,,,Timber (Grass and Understory),,2,2016-COFCQ-000751,,wildcad,wildcad,0,,,2016/06/15 22:15:25+00,2016/06/28 22:39:12+00,IRWIN,{DFB77CB5-4430-4EAC-A686-AE8A9B72E5C9},,,
-103.53806513,37.4658394850001,6306,,DEFAULT,,,,1270,25,COPBC,125000,,,,Minimal,Creeping,Smoldering,Smoldering,Natural,,,KA00,,2016/06/16 02:28:00+00,Type 4 Incident,,,100,,,PN,1502,RMCC,2016/06/20 15:00:00+00,2016/06/20 12:00:00+00,2016/06/20 15:00:00+00,F,Type 4 IC,Plum Canyon,rural ranch PJ canyonlands,WF,FI,37.52174,-103.6698,25,,{A23A9445-30E7-4894-9E40-77E46D6BDC09},,0,1,0,0,0,,000755,100,,Villegreen,Las Animas,,08071,,,,,,,,,,,,RM41,C&L,COLSX,US-CO,,,Timber (Grass and Understory),Short Grass (1 foot),8,2016-COLSX-000755,,wildcad,wildcad,0,,,2016/06/16 16:18:58+00,2020/02/10 16:58:39+00,IRWIN,{FC0BE7B6-C30A-4349-B352-6AFB86723BAA},,,
-106.704810372,38.6309461500001,6693,,DEFAULT,,2019/11/21 15:55:00+00,2019/11/21 15:59:59+00,0.1,0.1,COMTC,3000,,,,Minimal,Smoldering,Creeping,,Unknown,,,MXS1,,2019/11/06 21:04:59+00,Type 5 Incident,2019/11/21 16:05:00+00,0,0,100,0,P2,0204,RMCC,2019/11/21 18:59:59+00,2019/11/14 17:00:00+00,2019/11/21 18:59:59+00,F,Type 5 IC,Lower Fossil,"10 miles North East of Gunnison, CO",WF,FI,38.63084,-106.7043,0.1,,{6E091E28-8AC7-44D0-AADA-1585CB36BBC9},,0,1,0,0,0,,000251,100,0,Gunnison,Gunnison,COMTC,08051,FS,COGMF,,USFS,Federal,6th Principal Meridian,,,84W,36,15S,RM28,FS,COGMF,US-CO,,,Timber (Litter and Understory),,0,2019-COGMF-000251,Approved Decision,wildcad,ics209,0,Type 5 Incident,2019/11/12 23:13:07+00,2019/11/06 21:13:32+00,2019/11/21 19:27:16+00,IRWIN,{1C6B8A20-4148-4513-B38C-15A87465D5F3},,,
-107.109810695,40.599546381,6877,,DEFAULT,,2017/09/14 21:00:00+00,2017/12/13 19:47:59+00,4222,2,COCRC,2182623,,,,Minimal,Smoldering,Creeping,Creeping,Human,,,LB0F,,2017/09/04 19:41:59+00,Type 2 Incident,2017/12/13 19:47:59+00,,100,,,,,RMCC,2017/09/14 21:00:00+00,2017/09/13 23:00:00+00,2017/09/14 21:00:00+00,F,Type 2 Team,DEEP CREEK,"9 miles NE of Hayden, CO",WF,FI,40.59954,-107.1099,3,,{ADC01442-26A2-4191-B0AC-4FECAC3B4EA5},,0,1,0,0,0,0,000456,100,100,Hayden,Routt,COCRC,08107,,CORTX,,,,,,,,,,RM21,C&L,CORTX,US-CO,,,Timber (Litter and Understory),Brush (2 feet),60,2017-CORTX-000456,Approved Decision,wildcad,wildcad,0,,,2017/09/05 03:38:20+00,2018/05/10 16:00:27+00,IRWIN,{B04A9A3B-9577-4883-B8A9-B84FB78CCA46},,,
