YEAR,POOCounty,X
2015,Archuleta,4
2015,Conejos,1
2015,Dolores,2
2015,Eagle,1
2015,Garfield,1
2015,Grand,1
2015,Jackson,1
2015,La Plata,4
2015,Mineral,1
2015,Moffat,2
2015,Montezuma,1
2015,Rio Blanco,2
2015,Summit,1
2015,Weld,1
2016,Archuleta,2
2016,Boulder,1
2016,Custer,1
2016,Dolores,3
2016,Douglas,1
2016,Eagle,2
2016,El Paso,2
2016,Elbert,1
2016,Fremont,1
2016,Garfield,3
2016,Jackson,1
2016,La Plata,1
2016,Larimer,1
2016,Las Animas,1
2016,Mesa,3
2016,Moffat,4
2016,Montezuma,3
2016,Montrose,2
2016,Ouray,1
2016,Park,1
2016,Pitkin,1
2016,Pueblo,2
2016,Rio Blanco,3
2016,Routt,2
2016,Summit,1
2017,Archuleta,3
2017,Dolores,3
2017,Douglas,1
2017,Eagle,1
2017,El Paso,1
2017,Fremont,1
2017,Garfield,2
2017,La Plata,2
2017,Larimer,2
2017,Logan,1
2017,Mineral,1
2017,Moffat,3
2017,Montezuma,3
2017,Montrose,1
2017,Park,1
2017,Prowers,1
2017,Rio Blanco,2
2017,Routt,3
2017,Saguache,1
2017,Summit,1
2017,Weld,1
2018,Archuleta,2
2018,Baca,1
2018,Costilla,1
2018,Delta,1
2018,Dolores,2
2018,Douglas,1
2018,Eagle,3
2018,El Paso,1
2018,Garfield,2
2018,Grand,1
2018,Hinsdale,1
2018,Jackson,1
2018,La Plata,1
2018,Larimer,1
2018,Las Animas,1
2018,Logan,1
2018,Mesa,1
2018,Moffat,7
2018,Montezuma,2
2018,Montrose,7
2018,Otero,1
2018,Park,1
2018,Prowers,1
2018,Rio Blanco,6
2018,Routt,2
2018,Saguache,1
2018,San Miguel,1
2018,Summit,1
2018,Teller,1
2019,Archuleta,2
2019,Baca,6
2019,Bent,1
2019,Dolores,1
2019,Fremont,1
2019,Garfield,1
2019,Gunnison,3
2019,Hinsdale,4
2019,Huerfano,1
2019,La Plata,2
2019,Larimer,3
2019,Moffat,1
2019,Montrose,1
2019,Ouray,1
2019,Park,1
2019,Pitkin,1
2019,Rio Blanco,2
2019,Saguache,1
2019,Weld,2
2020,Baca,1
2020,Boulder,2
2020,Delta,1
2020,Douglas,1
2020,Fremont,1
2020,Garfield,1
2020,Grand,2
2020,Gunnison,1
2020,Hinsdale,2
2020,Huerfano,1
2020,La Plata,1
2020,Larimer,2
2020,Las Animas,5
2020,Logan,1
2020,Mesa,4
2020,Mineral,1
2020,Moffat,3
2020,Montezuma,3
2020,Montrose,2
2020,Morgan,1
2020,Otero,1
2020,Park,1
2020,Phillips,2
2020,Rio Blanco,4
2020,Routt,2
2020,San Juan,2
2020,Weld,4
2021,Archuleta,1
2021,Bent,2
2021,Boulder,1
2021,Dolores,1
2021,Eagle,1
2021,Garfield,1
2021,Grand,1
2021,Hinsdale,1
2021,Kit Carson,1
2021,Larimer,1
2021,Mesa,1
2021,Moffat,3
2021,Montezuma,1
2021,Morgan,1
2021,Rio Blanco,4
2021,Routt,2
2021,Washington,1
2021,Weld,1
2021,Yuma,1
2022,Alamosa,1
2022,Archuleta,1
2022,Baca,1
2022,Bent,1
2022,Boulder,1
2022,Conejos,1
2022,Gunnison,1
2022,Kit Carson,1
2022,La Plata,1
2022,Larimer,1
2022,Las Animas,1
2022,Otero,1
2022,Ouray,1
2022,Pueblo,1
2022,San Miguel,1
2022,Teller,1
2022,Yuma,1
